metric_type,metric_name,value,numerator,denominator
task_overall,TAR,0.11597374179431072,53,457
task_overall,KSAR,0.11155378486055777,56,502
widget_overall,widget_hit_rate,0.4375,7,16
efficiency_overall,avg_actions_pos,4.767857142857143,267,56
page_overall,precision,0.3076923076923077,24,78
page_overall,recall,0.42857142857142855,24,56
page_overall,accuracy,0.7038327526132404,202,287
page_overall,f1_score,0.3582089552238806,2*P*R/(P+R),calculated
assertion_overall,precision,0.04487179487179487,7,156
assertion_overall,recall,0.15217391304347827,7,46
assertion_overall,accuracy,0.5068493150684932,185,365
assertion_overall,f1_score,0.0693069306930693,2*P*R/(P+R),calculated
task_easy,TAR,0.36363636363636365,8,22
task_easy,KSAR,0.36363636363636365,8,22
widget_easy,widget_hit_rate,0.0,0,2
efficiency_easy,avg_actions_pos,2.625,21,8
page_easy,precision,0.3,3,10
page_easy,recall,0.375,3,8
page_easy,accuracy,0.4782608695652174,11,23
page_easy,f1_score,0.33333333333333326,2*P*R/(P+R),calculated
task_mid,TAR,0.10802469135802469,35,324
task_mid,KSAR,0.1069364161849711,37,346
widget_mid,widget_hit_rate,0.4166666666666667,5,12
efficiency_mid,avg_actions_pos,5.4324324324324325,201,37
page_mid,precision,0.3392857142857143,19,56
page_mid,recall,0.5135135135135135,19,37
page_mid,accuracy,0.7477064220183486,163,218
page_mid,f1_score,0.40860215053763443,2*P*R/(P+R),calculated
task_hard,TAR,0.09009009009009009,10,111
task_hard,KSAR,0.08208955223880597,11,134
widget_hard,widget_hit_rate,1.0,2,2
efficiency_hard,avg_actions_pos,4.090909090909091,45,11
page_hard,precision,0.16666666666666666,2,12
page_hard,recall,0.18181818181818182,2,11
page_hard,accuracy,0.6086956521739131,28,46
page_hard,f1_score,0.17391304347826086,2*P*R/(P+R),calculated
raw_stats_overall,unerror_episodes_total,457,,
raw_stats_overall,completed_episodes_count,53,,
raw_stats_overall,key_subtasks_total,502,,
raw_stats_overall,completed_key_subtasks,56,,
raw_stats_overall,pages_exec_total,287,,
raw_stats_overall,pages_gen_total,78,,
raw_stats_overall,pages_annotated_total,56,,
raw_stats_overall,pages_annotated_hit,24,,
raw_stats_overall,pages_no_annotation_nor_gen_total,178,,
raw_stats_overall,assertion_states_exec_total,365,,
raw_stats_overall,assertion_states_gen_total,156,,
raw_stats_overall,assertion_states_annotated_total,46,,
raw_stats_overall,assertion_states_annotated_hit,7,,
raw_stats_overall,assertion_states_no_annotation_nor_gen_total,178,,
raw_stats_overall,recognized_pages_with_widget_assertions,16,,
raw_stats_overall,recognized_pages_with_widget_assertions_and_evidence_widget_hits,7,,
raw_stats_overall,total_actions_pos_for_finished_key_subtask,267,,
raw_stats_easy,unerror_episodes_total,22,,
raw_stats_easy,completed_episodes_count,8,,
raw_stats_easy,key_subtasks_total,22,,
raw_stats_easy,completed_key_subtasks,8,,
raw_stats_easy,pages_exec_total,23,,
raw_stats_easy,pages_gen_total,10,,
raw_stats_easy,pages_annotated_total,8,,
raw_stats_easy,pages_annotated_hit,3,,
raw_stats_easy,pages_no_annotation_nor_gen_total,8,,
raw_stats_easy,recognized_pages_with_widget_assertions,2,,
raw_stats_easy,recognized_pages_with_widget_assertions_and_evidence_widget_hits,0,,
raw_stats_easy,total_actions_pos_for_finished_key_subtask,21,,
raw_stats_mid,unerror_episodes_total,324,,
raw_stats_mid,completed_episodes_count,35,,
raw_stats_mid,key_subtasks_total,346,,
raw_stats_mid,completed_key_subtasks,37,,
raw_stats_mid,pages_exec_total,218,,
raw_stats_mid,pages_gen_total,56,,
raw_stats_mid,pages_annotated_total,37,,
raw_stats_mid,pages_annotated_hit,19,,
raw_stats_mid,pages_no_annotation_nor_gen_total,144,,
raw_stats_mid,recognized_pages_with_widget_assertions,12,,
raw_stats_mid,recognized_pages_with_widget_assertions_and_evidence_widget_hits,5,,
raw_stats_mid,total_actions_pos_for_finished_key_subtask,201,,
raw_stats_hard,unerror_episodes_total,111,,
raw_stats_hard,completed_episodes_count,10,,
raw_stats_hard,key_subtasks_total,134,,
raw_stats_hard,completed_key_subtasks,11,,
raw_stats_hard,pages_exec_total,46,,
raw_stats_hard,pages_gen_total,12,,
raw_stats_hard,pages_annotated_total,11,,
raw_stats_hard,pages_annotated_hit,2,,
raw_stats_hard,pages_no_annotation_nor_gen_total,26,,
raw_stats_hard,recognized_pages_with_widget_assertions,2,,
raw_stats_hard,recognized_pages_with_widget_assertions_and_evidence_widget_hits,2,,
raw_stats_hard,total_actions_pos_for_finished_key_subtask,45,,
