metric_type,metric_name,value,numerator,denominator
task_overall,TAR,0.145610278372591,68,467
task_overall,KSAR,0.14922480620155038,77,516
widget_overall,widget_hit_rate,0.47058823529411764,16,34
efficiency_overall,avg_actions_pos,5.038961038961039,388,77
page_overall,precision,0.4406779661016949,52,118
page_overall,recall,0.6753246753246753,52,77
page_overall,accuracy,0.7833333333333333,329,420
page_overall,f1_score,0.5333333333333333,2*P*R/(P+R),calculated
assertion_overall,precision,0.1111111111111111,16,144
assertion_overall,recall,0.23880597014925373,16,67
assertion_overall,accuracy,0.6569506726457399,293,446
assertion_overall,f1_score,0.15165876777251186,2*P*R/(P+R),calculated
task_easy,TAR,0.3181818181818182,7,22
task_easy,KSAR,0.3181818181818182,7,22
widget_easy,widget_hit_rate,0.6666666666666666,2,3
efficiency_easy,avg_actions_pos,2.857142857142857,20,7
page_easy,precision,0.75,6,8
page_easy,recall,0.8571428571428571,6,7
page_easy,accuracy,0.88,22,25
page_easy,f1_score,0.7999999999999999,2*P*R/(P+R),calculated
task_mid,TAR,0.14893617021276595,49,329
task_mid,KSAR,0.1590909090909091,56,352
widget_mid,widget_hit_rate,0.46153846153846156,12,26
efficiency_mid,avg_actions_pos,5.321428571428571,298,56
page_mid,precision,0.43333333333333335,39,90
page_mid,recall,0.6964285714285714,39,56
page_mid,accuracy,0.7888198757763976,254,322
page_mid,f1_score,0.5342465753424658,2*P*R/(P+R),calculated
task_hard,TAR,0.10344827586206896,12,116
task_hard,KSAR,0.09859154929577464,14,142
widget_hard,widget_hit_rate,0.4,2,5
efficiency_hard,avg_actions_pos,5.0,70,14
page_hard,precision,0.35,7,20
page_hard,recall,0.5,7,14
page_hard,accuracy,0.726027397260274,53,73
page_hard,f1_score,0.4117647058823529,2*P*R/(P+R),calculated
raw_stats_overall,unerror_episodes_total,467,,
raw_stats_overall,completed_episodes_count,68,,
raw_stats_overall,key_subtasks_total,516,,
raw_stats_overall,completed_key_subtasks,77,,
raw_stats_overall,pages_exec_total,420,,
raw_stats_overall,pages_gen_total,118,,
raw_stats_overall,pages_annotated_total,77,,
raw_stats_overall,pages_annotated_hit,52,,
raw_stats_overall,pages_no_annotation_nor_gen_total,277,,
raw_stats_overall,assertion_states_exec_total,446,,
raw_stats_overall,assertion_states_gen_total,144,,
raw_stats_overall,assertion_states_annotated_total,67,,
raw_stats_overall,assertion_states_annotated_hit,16,,
raw_stats_overall,assertion_states_no_annotation_nor_gen_total,277,,
raw_stats_overall,recognized_pages_with_widget_assertions,34,,
raw_stats_overall,recognized_pages_with_widget_assertions_and_evidence_widget_hits,16,,
raw_stats_overall,total_actions_pos_for_finished_key_subtask,388,,
raw_stats_easy,unerror_episodes_total,22,,
raw_stats_easy,completed_episodes_count,7,,
raw_stats_easy,key_subtasks_total,22,,
raw_stats_easy,completed_key_subtasks,7,,
raw_stats_easy,pages_exec_total,25,,
raw_stats_easy,pages_gen_total,8,,
raw_stats_easy,pages_annotated_total,7,,
raw_stats_easy,pages_annotated_hit,6,,
raw_stats_easy,pages_no_annotation_nor_gen_total,16,,
raw_stats_easy,recognized_pages_with_widget_assertions,3,,
raw_stats_easy,recognized_pages_with_widget_assertions_and_evidence_widget_hits,2,,
raw_stats_easy,total_actions_pos_for_finished_key_subtask,20,,
raw_stats_mid,unerror_episodes_total,329,,
raw_stats_mid,completed_episodes_count,49,,
raw_stats_mid,key_subtasks_total,352,,
raw_stats_mid,completed_key_subtasks,56,,
raw_stats_mid,pages_exec_total,322,,
raw_stats_mid,pages_gen_total,90,,
raw_stats_mid,pages_annotated_total,56,,
raw_stats_mid,pages_annotated_hit,39,,
raw_stats_mid,pages_no_annotation_nor_gen_total,215,,
raw_stats_mid,recognized_pages_with_widget_assertions,26,,
raw_stats_mid,recognized_pages_with_widget_assertions_and_evidence_widget_hits,12,,
raw_stats_mid,total_actions_pos_for_finished_key_subtask,298,,
raw_stats_hard,unerror_episodes_total,116,,
raw_stats_hard,completed_episodes_count,12,,
raw_stats_hard,key_subtasks_total,142,,
raw_stats_hard,completed_key_subtasks,14,,
raw_stats_hard,pages_exec_total,73,,
raw_stats_hard,pages_gen_total,20,,
raw_stats_hard,pages_annotated_total,14,,
raw_stats_hard,pages_annotated_hit,7,,
raw_stats_hard,pages_no_annotation_nor_gen_total,46,,
raw_stats_hard,recognized_pages_with_widget_assertions,5,,
raw_stats_hard,recognized_pages_with_widget_assertions_and_evidence_widget_hits,2,,
raw_stats_hard,total_actions_pos_for_finished_key_subtask,70,,
