metric_type,metric_name,value,numerator,denominator
task_overall,TAR,0.19770114942528735,86,435
task_overall,KSAR,0.19791666666666666,95,480
widget_overall,widget_hit_rate,0.6363636363636364,28,44
efficiency_overall,avg_actions_pos,6.094736842105263,579,95
page_overall,precision,0.4166666666666667,65,156
page_overall,recall,0.6842105263157895,65,95
page_overall,accuracy,0.8088467614533965,512,633
page_overall,f1_score,0.5179282868525896,2*P*R/(P+R),calculated
assertion_overall,precision,0.11618257261410789,28,241
assertion_overall,recall,0.3181818181818182,28,88
assertion_overall,accuracy,0.6615598885793872,475,718
assertion_overall,f1_score,0.17021276595744683,2*P*R/(P+R),calculated
task_easy,TAR,0.5238095238095238,11,21
task_easy,KSAR,0.5238095238095238,11,21
widget_easy,widget_hit_rate,0.5,1,2
efficiency_easy,avg_actions_pos,4.7272727272727275,52,11
page_easy,precision,0.5625,9,16
page_easy,recall,0.8181818181818182,9,11
page_easy,accuracy,0.85,51,60
page_easy,f1_score,0.6666666666666666,2*P*R/(P+R),calculated
task_mid,TAR,0.21103896103896103,65,308
task_mid,KSAR,0.2127659574468085,70,329
widget_mid,widget_hit_rate,0.6410256410256411,25,39
efficiency_mid,avg_actions_pos,6.171428571428572,432,70
page_mid,precision,0.425,51,120
page_mid,recall,0.7285714285714285,51,70
page_mid,accuracy,0.813953488372093,385,473
page_mid,f1_score,0.5368421052631579,2*P*R/(P+R),calculated
task_hard,TAR,0.09433962264150944,10,106
task_hard,KSAR,0.1076923076923077,14,130
widget_hard,widget_hit_rate,0.6666666666666666,2,3
efficiency_hard,avg_actions_pos,6.785714285714286,95,14
page_hard,precision,0.25,5,20
page_hard,recall,0.35714285714285715,5,14
page_hard,accuracy,0.76,76,100
page_hard,f1_score,0.2941176470588235,2*P*R/(P+R),calculated
raw_stats_overall,unerror_episodes_total,435,,
raw_stats_overall,completed_episodes_count,86,,
raw_stats_overall,key_subtasks_total,480,,
raw_stats_overall,completed_key_subtasks,95,,
raw_stats_overall,pages_exec_total,633,,
raw_stats_overall,pages_gen_total,156,,
raw_stats_overall,pages_annotated_total,95,,
raw_stats_overall,pages_annotated_hit,65,,
raw_stats_overall,pages_no_annotation_nor_gen_total,447,,
raw_stats_overall,assertion_states_exec_total,718,,
raw_stats_overall,assertion_states_gen_total,241,,
raw_stats_overall,assertion_states_annotated_total,88,,
raw_stats_overall,assertion_states_annotated_hit,28,,
raw_stats_overall,assertion_states_no_annotation_nor_gen_total,447,,
raw_stats_overall,recognized_pages_with_widget_assertions,44,,
raw_stats_overall,recognized_pages_with_widget_assertions_and_evidence_widget_hits,28,,
raw_stats_overall,total_actions_pos_for_finished_key_subtask,579,,
raw_stats_easy,unerror_episodes_total,21,,
raw_stats_easy,completed_episodes_count,11,,
raw_stats_easy,key_subtasks_total,21,,
raw_stats_easy,completed_key_subtasks,11,,
raw_stats_easy,pages_exec_total,60,,
raw_stats_easy,pages_gen_total,16,,
raw_stats_easy,pages_annotated_total,11,,
raw_stats_easy,pages_annotated_hit,9,,
raw_stats_easy,pages_no_annotation_nor_gen_total,42,,
raw_stats_easy,recognized_pages_with_widget_assertions,2,,
raw_stats_easy,recognized_pages_with_widget_assertions_and_evidence_widget_hits,1,,
raw_stats_easy,total_actions_pos_for_finished_key_subtask,52,,
raw_stats_mid,unerror_episodes_total,308,,
raw_stats_mid,completed_episodes_count,65,,
raw_stats_mid,key_subtasks_total,329,,
raw_stats_mid,completed_key_subtasks,70,,
raw_stats_mid,pages_exec_total,473,,
raw_stats_mid,pages_gen_total,120,,
raw_stats_mid,pages_annotated_total,70,,
raw_stats_mid,pages_annotated_hit,51,,
raw_stats_mid,pages_no_annotation_nor_gen_total,334,,
raw_stats_mid,recognized_pages_with_widget_assertions,39,,
raw_stats_mid,recognized_pages_with_widget_assertions_and_evidence_widget_hits,25,,
raw_stats_mid,total_actions_pos_for_finished_key_subtask,432,,
raw_stats_hard,unerror_episodes_total,106,,
raw_stats_hard,completed_episodes_count,10,,
raw_stats_hard,key_subtasks_total,130,,
raw_stats_hard,completed_key_subtasks,14,,
raw_stats_hard,pages_exec_total,100,,
raw_stats_hard,pages_gen_total,20,,
raw_stats_hard,pages_annotated_total,14,,
raw_stats_hard,pages_annotated_hit,5,,
raw_stats_hard,pages_no_annotation_nor_gen_total,71,,
raw_stats_hard,recognized_pages_with_widget_assertions,3,,
raw_stats_hard,recognized_pages_with_widget_assertions_and_evidence_widget_hits,2,,
raw_stats_hard,total_actions_pos_for_finished_key_subtask,95,,
