metric_type,metric_name,value,numerator,denominator
task_overall,TAR,0.210752688172043,98,465
task_overall,KSAR,0.2046783625730994,105,513
widget_overall,widget_hit_rate,0.5238095238095238,22,42
efficiency_overall,avg_actions_pos,6.523809523809524,685,105
page_overall,precision,0.37037037037037035,60,162
page_overall,recall,0.5714285714285714,60,105
page_overall,accuracy,0.79890560875513,584,731
page_overall,f1_score,0.449438202247191,2*P*R/(P+R),calculated
assertion_overall,precision,0.11616161616161616,23,198
assertion_overall,recall,0.23469387755102042,23,98
assertion_overall,accuracy,0.7131681877444589,547,767
assertion_overall,f1_score,0.1554054054054054,2*P*R/(P+R),calculated
task_easy,TAR,0.5,11,22
task_easy,KSAR,0.5,11,22
widget_easy,widget_hit_rate,1.0,3,3
efficiency_easy,avg_actions_pos,5.0,55,11
page_easy,precision,0.5882352941176471,10,17
page_easy,recall,0.9090909090909091,10,11
page_easy,accuracy,0.875,56,64
page_easy,f1_score,0.7142857142857143,2*P*R/(P+R),calculated
task_mid,TAR,0.21406727828746178,70,327
task_mid,KSAR,0.20916905444126074,73,349
widget_mid,widget_hit_rate,0.5161290322580645,16,31
efficiency_mid,avg_actions_pos,6.698630136986301,489,73
page_mid,precision,0.35714285714285715,40,112
page_mid,recall,0.547945205479452,40,73
page_mid,accuracy,0.7984644913627639,416,521
page_mid,f1_score,0.4324324324324324,2*P*R/(P+R),calculated
task_hard,TAR,0.14655172413793102,17,116
task_hard,KSAR,0.14788732394366197,21,142
widget_hard,widget_hit_rate,0.375,3,8
efficiency_hard,avg_actions_pos,6.714285714285714,141,21
page_hard,precision,0.30303030303030304,10,33
page_hard,recall,0.47619047619047616,10,21
page_hard,accuracy,0.7671232876712328,112,146
page_hard,f1_score,0.37037037037037035,2*P*R/(P+R),calculated
raw_stats_overall,unerror_episodes_total,465,,
raw_stats_overall,completed_episodes_count,98,,
raw_stats_overall,key_subtasks_total,513,,
raw_stats_overall,completed_key_subtasks,105,,
raw_stats_overall,pages_exec_total,731,,
raw_stats_overall,pages_gen_total,162,,
raw_stats_overall,pages_annotated_total,105,,
raw_stats_overall,pages_annotated_hit,60,,
raw_stats_overall,pages_no_annotation_nor_gen_total,524,,
raw_stats_overall,assertion_states_exec_total,767,,
raw_stats_overall,assertion_states_gen_total,198,,
raw_stats_overall,assertion_states_annotated_total,98,,
raw_stats_overall,assertion_states_annotated_hit,23,,
raw_stats_overall,assertion_states_no_annotation_nor_gen_total,524,,
raw_stats_overall,recognized_pages_with_widget_assertions,42,,
raw_stats_overall,recognized_pages_with_widget_assertions_and_evidence_widget_hits,22,,
raw_stats_overall,total_actions_pos_for_finished_key_subtask,685,,
raw_stats_easy,unerror_episodes_total,22,,
raw_stats_easy,completed_episodes_count,11,,
raw_stats_easy,key_subtasks_total,22,,
raw_stats_easy,completed_key_subtasks,11,,
raw_stats_easy,pages_exec_total,64,,
raw_stats_easy,pages_gen_total,17,,
raw_stats_easy,pages_annotated_total,11,,
raw_stats_easy,pages_annotated_hit,10,,
raw_stats_easy,pages_no_annotation_nor_gen_total,46,,
raw_stats_easy,recognized_pages_with_widget_assertions,3,,
raw_stats_easy,recognized_pages_with_widget_assertions_and_evidence_widget_hits,3,,
raw_stats_easy,total_actions_pos_for_finished_key_subtask,55,,
raw_stats_mid,unerror_episodes_total,327,,
raw_stats_mid,completed_episodes_count,70,,
raw_stats_mid,key_subtasks_total,349,,
raw_stats_mid,completed_key_subtasks,73,,
raw_stats_mid,pages_exec_total,521,,
raw_stats_mid,pages_gen_total,112,,
raw_stats_mid,pages_annotated_total,73,,
raw_stats_mid,pages_annotated_hit,40,,
raw_stats_mid,pages_no_annotation_nor_gen_total,376,,
raw_stats_mid,recognized_pages_with_widget_assertions,31,,
raw_stats_mid,recognized_pages_with_widget_assertions_and_evidence_widget_hits,16,,
raw_stats_mid,total_actions_pos_for_finished_key_subtask,489,,
raw_stats_hard,unerror_episodes_total,116,,
raw_stats_hard,completed_episodes_count,17,,
raw_stats_hard,key_subtasks_total,142,,
raw_stats_hard,completed_key_subtasks,21,,
raw_stats_hard,pages_exec_total,146,,
raw_stats_hard,pages_gen_total,33,,
raw_stats_hard,pages_annotated_total,21,,
raw_stats_hard,pages_annotated_hit,10,,
raw_stats_hard,pages_no_annotation_nor_gen_total,102,,
raw_stats_hard,recognized_pages_with_widget_assertions,8,,
raw_stats_hard,recognized_pages_with_widget_assertions_and_evidence_widget_hits,3,,
raw_stats_hard,total_actions_pos_for_finished_key_subtask,141,,
