metric_type,metric_name,value,numerator,denominator
task_overall,TAR,0.20652173913043478,95,460
task_overall,KSAR,0.20355731225296442,103,506
widget_overall,widget_hit_rate,0.7027027027027027,26,37
efficiency_overall,avg_actions_pos,8.980582524271844,925,103
page_overall,precision,0.3611111111111111,52,144
page_overall,recall,0.5048543689320388,52,103
page_overall,accuracy,0.8494736842105263,807,950
page_overall,f1_score,0.42105263157894735,2*P*R/(P+R),calculated
assertion_overall,precision,0.14285714285714285,28,196
assertion_overall,recall,0.3076923076923077,28,91
assertion_overall,accuracy,0.781437125748503,783,1002
assertion_overall,f1_score,0.1951219512195122,2*P*R/(P+R),calculated
task_easy,TAR,0.5,11,22
task_easy,KSAR,0.5,11,22
widget_easy,widget_hit_rate,1.0,1,1
efficiency_easy,avg_actions_pos,5.2727272727272725,58,11
page_easy,precision,0.5,5,10
page_easy,recall,0.45454545454545453,5,11
page_easy,accuracy,0.8225806451612904,51,62
page_easy,f1_score,0.47619047619047616,2*P*R/(P+R),calculated
task_mid,TAR,0.2116564417177914,69,326
task_mid,KSAR,0.21264367816091953,74,348
widget_mid,widget_hit_rate,0.71875,23,32
efficiency_mid,avg_actions_pos,9.297297297297296,688,74
page_mid,precision,0.4019607843137255,41,102
page_mid,recall,0.5540540540540541,41,74
page_mid,accuracy,0.8664772727272727,610,704
page_mid,f1_score,0.4659090909090909,2*P*R/(P+R),calculated
task_hard,TAR,0.13392857142857142,15,112
task_hard,KSAR,0.1323529411764706,18,136
widget_hard,widget_hit_rate,0.5,2,4
efficiency_hard,avg_actions_pos,9.944444444444445,179,18
page_hard,precision,0.1875,6,32
page_hard,recall,0.3333333333333333,6,18
page_hard,accuracy,0.7934782608695652,146,184
page_hard,f1_score,0.24000000000000005,2*P*R/(P+R),calculated
raw_stats_overall,unerror_episodes_total,460,,
raw_stats_overall,completed_episodes_count,95,,
raw_stats_overall,key_subtasks_total,506,,
raw_stats_overall,completed_key_subtasks,103,,
raw_stats_overall,pages_exec_total,950,,
raw_stats_overall,pages_gen_total,144,,
raw_stats_overall,pages_annotated_total,103,,
raw_stats_overall,pages_annotated_hit,52,,
raw_stats_overall,pages_no_annotation_nor_gen_total,755,,
raw_stats_overall,assertion_states_exec_total,1002,,
raw_stats_overall,assertion_states_gen_total,196,,
raw_stats_overall,assertion_states_annotated_total,91,,
raw_stats_overall,assertion_states_annotated_hit,28,,
raw_stats_overall,assertion_states_no_annotation_nor_gen_total,755,,
raw_stats_overall,recognized_pages_with_widget_assertions,37,,
raw_stats_overall,recognized_pages_with_widget_assertions_and_evidence_widget_hits,26,,
raw_stats_overall,total_actions_pos_for_finished_key_subtask,925,,
raw_stats_easy,unerror_episodes_total,22,,
raw_stats_easy,completed_episodes_count,11,,
raw_stats_easy,key_subtasks_total,22,,
raw_stats_easy,completed_key_subtasks,11,,
raw_stats_easy,pages_exec_total,62,,
raw_stats_easy,pages_gen_total,10,,
raw_stats_easy,pages_annotated_total,11,,
raw_stats_easy,pages_annotated_hit,5,,
raw_stats_easy,pages_no_annotation_nor_gen_total,46,,
raw_stats_easy,recognized_pages_with_widget_assertions,1,,
raw_stats_easy,recognized_pages_with_widget_assertions_and_evidence_widget_hits,1,,
raw_stats_easy,total_actions_pos_for_finished_key_subtask,58,,
raw_stats_mid,unerror_episodes_total,326,,
raw_stats_mid,completed_episodes_count,69,,
raw_stats_mid,key_subtasks_total,348,,
raw_stats_mid,completed_key_subtasks,74,,
raw_stats_mid,pages_exec_total,704,,
raw_stats_mid,pages_gen_total,102,,
raw_stats_mid,pages_annotated_total,74,,
raw_stats_mid,pages_annotated_hit,41,,
raw_stats_mid,pages_no_annotation_nor_gen_total,569,,
raw_stats_mid,recognized_pages_with_widget_assertions,32,,
raw_stats_mid,recognized_pages_with_widget_assertions_and_evidence_widget_hits,23,,
raw_stats_mid,total_actions_pos_for_finished_key_subtask,688,,
raw_stats_hard,unerror_episodes_total,112,,
raw_stats_hard,completed_episodes_count,15,,
raw_stats_hard,key_subtasks_total,136,,
raw_stats_hard,completed_key_subtasks,18,,
raw_stats_hard,pages_exec_total,184,,
raw_stats_hard,pages_gen_total,32,,
raw_stats_hard,pages_annotated_total,18,,
raw_stats_hard,pages_annotated_hit,6,,
raw_stats_hard,pages_no_annotation_nor_gen_total,140,,
raw_stats_hard,recognized_pages_with_widget_assertions,4,,
raw_stats_hard,recognized_pages_with_widget_assertions_and_evidence_widget_hits,2,,
raw_stats_hard,total_actions_pos_for_finished_key_subtask,179,,
