metric_type,metric_name,value,numerator,denominator
task_overall,TAR,0.18082788671023964,83,459
task_overall,KSAR,0.17786561264822134,90,506
widget_overall,widget_hit_rate,1.0,2,2
efficiency_overall,avg_actions_pos,5.644444444444445,508,90
page_overall,precision,0.3,6,20
page_overall,recall,0.06666666666666667,6,90
page_overall,accuracy,0.8063241106719368,408,506
page_overall,f1_score,0.1090909090909091,2*P*R/(P+R),calculated
assertion_overall,precision,0.09090909090909091,2,22
assertion_overall,recall,0.025,2,80
assertion_overall,accuracy,0.7952755905511811,404,508
assertion_overall,f1_score,0.03921568627450981,2*P*R/(P+R),calculated
task_easy,TAR,0.5454545454545454,12,22
task_easy,KSAR,0.5454545454545454,12,22
widget_easy,widget_hit_rate,0.0,0,0
efficiency_easy,avg_actions_pos,2.9166666666666665,35,12
page_easy,precision,1.0,3,3
page_easy,recall,0.25,3,12
page_easy,accuracy,0.7631578947368421,29,38
page_easy,f1_score,0.4,2*P*R/(P+R),calculated
task_mid,TAR,0.17177914110429449,56,326
task_mid,KSAR,0.17191977077363896,60,349
widget_mid,widget_hit_rate,1.0,1,1
efficiency_mid,avg_actions_pos,5.866666666666666,352,60
page_mid,precision,0.15384615384615385,2,13
page_mid,recall,0.03333333333333333,2,60
page_mid,accuracy,0.8005780346820809,277,346
page_mid,f1_score,0.0547945205479452,2*P*R/(P+R),calculated
task_hard,TAR,0.13513513513513514,15,111
task_hard,KSAR,0.13333333333333333,18,135
widget_hard,widget_hit_rate,1.0,1,1
efficiency_hard,avg_actions_pos,6.722222222222222,121,18
page_hard,precision,0.25,1,4
page_hard,recall,0.05555555555555555,1,18
page_hard,accuracy,0.8360655737704918,102,122
page_hard,f1_score,0.0909090909090909,2*P*R/(P+R),calculated
raw_stats_overall,unerror_episodes_total,459,,
raw_stats_overall,completed_episodes_count,83,,
raw_stats_overall,key_subtasks_total,506,,
raw_stats_overall,completed_key_subtasks,90,,
raw_stats_overall,pages_exec_total,506,,
raw_stats_overall,pages_gen_total,20,,
raw_stats_overall,pages_annotated_total,90,,
raw_stats_overall,pages_annotated_hit,6,,
raw_stats_overall,pages_no_annotation_nor_gen_total,402,,
raw_stats_overall,assertion_states_exec_total,508,,
raw_stats_overall,assertion_states_gen_total,22,,
raw_stats_overall,assertion_states_annotated_total,80,,
raw_stats_overall,assertion_states_annotated_hit,2,,
raw_stats_overall,assertion_states_no_annotation_nor_gen_total,402,,
raw_stats_overall,recognized_pages_with_widget_assertions,2,,
raw_stats_overall,recognized_pages_with_widget_assertions_and_evidence_widget_hits,2,,
raw_stats_overall,total_actions_pos_for_finished_key_subtask,508,,
raw_stats_easy,unerror_episodes_total,22,,
raw_stats_easy,completed_episodes_count,12,,
raw_stats_easy,key_subtasks_total,22,,
raw_stats_easy,completed_key_subtasks,12,,
raw_stats_easy,pages_exec_total,38,,
raw_stats_easy,pages_gen_total,3,,
raw_stats_easy,pages_annotated_total,12,,
raw_stats_easy,pages_annotated_hit,3,,
raw_stats_easy,pages_no_annotation_nor_gen_total,26,,
raw_stats_easy,recognized_pages_with_widget_assertions,0,,
raw_stats_easy,recognized_pages_with_widget_assertions_and_evidence_widget_hits,0,,
raw_stats_easy,total_actions_pos_for_finished_key_subtask,35,,
raw_stats_mid,unerror_episodes_total,326,,
raw_stats_mid,completed_episodes_count,56,,
raw_stats_mid,key_subtasks_total,349,,
raw_stats_mid,completed_key_subtasks,60,,
raw_stats_mid,pages_exec_total,346,,
raw_stats_mid,pages_gen_total,13,,
raw_stats_mid,pages_annotated_total,60,,
raw_stats_mid,pages_annotated_hit,2,,
raw_stats_mid,pages_no_annotation_nor_gen_total,275,,
raw_stats_mid,recognized_pages_with_widget_assertions,1,,
raw_stats_mid,recognized_pages_with_widget_assertions_and_evidence_widget_hits,1,,
raw_stats_mid,total_actions_pos_for_finished_key_subtask,352,,
raw_stats_hard,unerror_episodes_total,111,,
raw_stats_hard,completed_episodes_count,15,,
raw_stats_hard,key_subtasks_total,135,,
raw_stats_hard,completed_key_subtasks,18,,
raw_stats_hard,pages_exec_total,122,,
raw_stats_hard,pages_gen_total,4,,
raw_stats_hard,pages_annotated_total,18,,
raw_stats_hard,pages_annotated_hit,1,,
raw_stats_hard,pages_no_annotation_nor_gen_total,101,,
raw_stats_hard,recognized_pages_with_widget_assertions,1,,
raw_stats_hard,recognized_pages_with_widget_assertions_and_evidence_widget_hits,1,,
raw_stats_hard,total_actions_pos_for_finished_key_subtask,121,,
