episode,node_start_id,node_start_oracle_id,oracle_dict,page_hit,activity_hit,fuzzy_pageimg_hit,fuzzy_page_main_uicomps_hit,uicomponent_set,uicomponent_nearFull_hit,uicomponent_keywords_hit,uicomponent_text_hit,uicomp_nearFull_hit_list,uicomp_keywords_hit_list,uicomp_text_hit_list,key_subtasks_total,completed_key_subtasks,pages_exec_total,pages_gen_total,pages_annotated_total,pages_annotated_hit,pages_no_annotation_nor_gen_total,assertion_states_exec_total,assertion_states_gen_total,assertion_states_annotated_total,assertion_states_annotated_hit,assertion_states_no_annotation_nor_gen_total,page_precision,page_recall,page_accuracy,page_f1,assertion_precision,assertion_recall,assertion_accuracy,assertion_f1,task_completion_rate
84143002711104077,4,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,0,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
244629384739303596,5,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,0,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
10243782909269828176,6,6,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
11274761796981573687,5,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.EXACT: 'exact'>: ['3'], <EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,1,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
12144795137008029716,0,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.CHECK_INSTALL: 'check_install'>: ['Facebook']})",0,0,0,0,0,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
1359994677477286277,0,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.CHECK_INSTALL: 'check_install'>: ['Spotify']})",0,0,0,0,0,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
6920892466294256415,2,2,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
615146254683807741,10,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.EXACT: 'exact'>: ['0'], <EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,1,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
17938678572019502635,8,8,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0'], <EssentialStateKeyword.EXACT: 'exact'>: ['0']})",1,1,1,1,1,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
2143123778391820313,0,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.FUZZY: 'fuzzy'>: ['-1']})",0,0,0,0,0,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
2709332978052021498,8,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.EXACT: 'exact'>: ['0'], <EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,1,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
4510365456227100626,7,7,"defaultdict(<class 'list'>, {<EssentialStateKeyword.EXACT: 'exact'>: ['0'], <EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,1,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
7035853841512486594,4,4,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
427792410888378033,4,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,0,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
821873965856589741,6,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0'], <EssentialStateKeyword.EXACT: 'exact'>: ['6']})",0,0,0,0,1,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
10690658741533756795,1,1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
10816182174687306590,4,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,0,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
1332016557291859807,9,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0'], <EssentialStateKeyword.EXACT: 'exact'>: ['0']})",0,0,0,0,1,0,0,0,,,,502,56,287,78,56,24,178,365,156,46,7,178,0.3077,0.4286,0.7038,0.3582,0.0449,0.1522,0.5068,0.0693,0.1116
