episode,node_start_id,node_start_oracle_id,oracle_dict,page_hit,activity_hit,fuzzy_pageimg_hit,fuzzy_page_main_uicomps_hit,uicomponent_set,uicomponent_nearFull_hit,uicomponent_keywords_hit,uicomponent_text_hit,uicomp_nearFull_hit_list,uicomp_keywords_hit_list,uicomp_text_hit_list,key_subtasks_total,completed_key_subtasks,pages_exec_total,pages_gen_total,pages_annotated_total,pages_annotated_hit,pages_no_annotation_nor_gen_total,assertion_states_exec_total,assertion_states_gen_total,assertion_states_annotated_total,assertion_states_annotated_hit,assertion_states_no_annotation_nor_gen_total,page_precision,page_recall,page_accuracy,page_f1,assertion_precision,assertion_recall,assertion_accuracy,assertion_f1,task_completion_rate
84143002711104077,5,5,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
244629384739303596,3,3,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
10243782909269828176,3,3,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
10609424558081693691,5,5,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0'], <EssentialStateKeyword.FUZZY: 'fuzzy'>: ['-1'], <EssentialStateKeyword.EXACT: 'exact'>: ['17']})",1,1,0,1,1,1,1,1,17,17,17,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
11274761796981573687,4,4,"defaultdict(<class 'list'>, {<EssentialStateKeyword.EXACT: 'exact'>: ['3'], <EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,1,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
12321418230619720863,9,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.FUZZY: 'fuzzy'>: ['0']})",0,0,0,0,1,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
8425939885665187143,9,9,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
8220998894041399258,3,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.FUZZY: 'fuzzy'>: ['0']})",0,0,0,0,1,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
6920892466294256415,1,1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
615146254683807741,8,8,"defaultdict(<class 'list'>, {<EssentialStateKeyword.EXACT: 'exact'>: ['0'], <EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,1,1,1,1,0,0,0,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
2143123778391820313,0,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.FUZZY: 'fuzzy'>: ['-1']})",0,0,0,0,0,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
7035853841512486594,2,2,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
7597885808976673278,4,4,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0'], <EssentialStateKeyword.EXACT: 'exact'>: ['27']})",1,1,0,1,1,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
388098194778312464,7,7,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0'], <EssentialStateKeyword.EXACT: 'exact'>: ['3']})",1,1,0,1,1,1,1,1,3,3,3,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
427792410888378033,3,3,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
821873965856589741,10,10,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0'], <EssentialStateKeyword.EXACT: 'exact'>: ['6']})",1,1,0,1,1,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
1024517293080375339,5,5,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0'], <EssentialStateKeyword.EXACT: 'exact'>: ['0']})",1,1,0,1,1,1,1,1,0,0,0,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
10690658741533756795,3,3,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
10816182174687306590,2,2,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
1332016557291859807,5,5,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0'], <EssentialStateKeyword.EXACT: 'exact'>: ['0']})",1,1,0,1,1,1,1,1,0,0,0,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
14866579479115948048,1,1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
12072717654790012155,7,7,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0'], <EssentialStateKeyword.FUZZY: 'fuzzy'>: ['-1']})",1,1,0,1,0,0,0,0,,,,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
10141029934822739021,9,9,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0'], <EssentialStateKeyword.EXACT: 'exact'>: ['0']})",1,1,0,1,1,1,1,1,0,0,0,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
10529094880631540491,6,6,"defaultdict(<class 'list'>, {<EssentialStateKeyword.EXACT: 'exact'>: ['4', '17'], <EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,1,1,1,1,17,17,17,480,81,448,135,81,60,292,525,212,70,27,292,0.4444,0.7407,0.7857,0.5556,0.1274,0.3857,0.6076,0.1915,0.1688
