episode,node_start_id,node_start_oracle_id,oracle_dict,page_hit,activity_hit,fuzzy_pageimg_hit,fuzzy_page_main_uicomps_hit,uicomponent_set,uicomponent_nearFull_hit,uicomponent_keywords_hit,uicomponent_text_hit,uicomp_nearFull_hit_list,uicomp_keywords_hit_list,uicomp_text_hit_list,key_subtasks_total,completed_key_subtasks,pages_exec_total,pages_gen_total,pages_annotated_total,pages_annotated_hit,pages_no_annotation_nor_gen_total,assertion_states_exec_total,assertion_states_gen_total,assertion_states_annotated_total,assertion_states_annotated_hit,assertion_states_no_annotation_nor_gen_total,page_precision,page_recall,page_accuracy,page_f1,assertion_precision,assertion_recall,assertion_accuracy,assertion_f1,task_completion_rate
84143002711104077,4,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,0,0,0,0,,,,506,103,950,144,103,52,755,1002,196,91,28,755,0.3611,0.5049,0.8495,0.4211,0.1429,0.3077,0.7814,0.1951,0.2036
244629384739303596,2,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,0,0,0,0,,,,506,103,950,144,103,52,755,1002,196,91,28,755,0.3611,0.5049,0.8495,0.4211,0.1429,0.3077,0.7814,0.1951,0.2036
10243782909269828176,5,5,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,506,103,950,144,103,52,755,1002,196,91,28,755,0.3611,0.5049,0.8495,0.4211,0.1429,0.3077,0.7814,0.1951,0.2036
11274761796981573687,4,4,"defaultdict(<class 'list'>, {<EssentialStateKeyword.EXACT: 'exact'>: ['3'], <EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,1,0,0,0,,,,506,103,950,144,103,52,755,1002,196,91,28,755,0.3611,0.5049,0.8495,0.4211,0.1429,0.3077,0.7814,0.1951,0.2036
12321418230619720863,15,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.FUZZY: 'fuzzy'>: ['0']})",0,0,0,0,1,0,0,0,,,,506,103,950,144,103,52,755,1002,196,91,28,755,0.3611,0.5049,0.8495,0.4211,0.1429,0.3077,0.7814,0.1951,0.2036
1359994677477286277,0,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.CHECK_INSTALL: 'check_install'>: ['Spotify']})",0,0,0,0,0,0,0,0,,,,506,103,950,144,103,52,755,1002,196,91,28,755,0.3611,0.5049,0.8495,0.4211,0.1429,0.3077,0.7814,0.1951,0.2036
8425939885665187143,3,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,0,0,0,0,,,,506,103,950,144,103,52,755,1002,196,91,28,755,0.3611,0.5049,0.8495,0.4211,0.1429,0.3077,0.7814,0.1951,0.2036
8220998894041399258,7,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.FUZZY: 'fuzzy'>: ['0']})",0,0,0,0,1,0,0,0,,,,506,103,950,144,103,52,755,1002,196,91,28,755,0.3611,0.5049,0.8495,0.4211,0.1429,0.3077,0.7814,0.1951,0.2036
6920892466294256415,2,2,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,506,103,950,144,103,52,755,1002,196,91,28,755,0.3611,0.5049,0.8495,0.4211,0.1429,0.3077,0.7814,0.1951,0.2036
615146254683807741,10,10,"defaultdict(<class 'list'>, {<EssentialStateKeyword.EXACT: 'exact'>: ['0'], <EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,1,1,1,1,0,0,0,506,103,950,144,103,52,755,1002,196,91,28,755,0.3611,0.5049,0.8495,0.4211,0.1429,0.3077,0.7814,0.1951,0.2036
