episode,node_start_id,node_start_oracle_id,oracle_dict,page_hit,activity_hit,fuzzy_pageimg_hit,fuzzy_page_main_uicomps_hit,uicomponent_set,uicomponent_nearFull_hit,uicomponent_keywords_hit,uicomponent_text_hit,uicomp_nearFull_hit_list,uicomp_keywords_hit_list,uicomp_text_hit_list,key_subtasks_total,completed_key_subtasks,pages_exec_total,pages_gen_total,pages_annotated_total,pages_annotated_hit,pages_no_annotation_nor_gen_total,assertion_states_exec_total,assertion_states_gen_total,assertion_states_annotated_total,assertion_states_annotated_hit,assertion_states_no_annotation_nor_gen_total,page_precision,page_recall,page_accuracy,page_f1,assertion_precision,assertion_recall,assertion_accuracy,assertion_f1,task_completion_rate
84143002711104077,5,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,0,0,0,0,,,,506,90,506,20,90,6,402,508,22,80,2,402,0.3,0.0667,0.8063,0.1091,0.0909,0.025,0.7953,0.0392,0.1779
244629384739303596,2,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,0,0,0,0,,,,506,90,506,20,90,6,402,508,22,80,2,402,0.3,0.0667,0.8063,0.1091,0.0909,0.025,0.7953,0.0392,0.1779
10243782909269828176,3,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,0,0,0,0,,,,506,90,506,20,90,6,402,508,22,80,2,402,0.3,0.0667,0.8063,0.1091,0.0909,0.025,0.7953,0.0392,0.1779
11274761796981573687,3,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.EXACT: 'exact'>: ['3'], <EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,1,0,0,0,,,,506,90,506,20,90,6,402,508,22,80,2,402,0.3,0.0667,0.8063,0.1091,0.0909,0.025,0.7953,0.0392,0.1779
12144795137008029716,0,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.CHECK_INSTALL: 'check_install'>: ['Facebook']})",0,0,0,0,0,0,0,0,,,,506,90,506,20,90,6,402,508,22,80,2,402,0.3,0.0667,0.8063,0.1091,0.0909,0.025,0.7953,0.0392,0.1779
1359994677477286277,0,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.CHECK_INSTALL: 'check_install'>: ['Spotify']})",0,0,0,0,0,0,0,0,,,,506,90,506,20,90,6,402,508,22,80,2,402,0.3,0.0667,0.8063,0.1091,0.0909,0.025,0.7953,0.0392,0.1779
8425939885665187143,3,3,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,506,90,506,20,90,6,402,508,22,80,2,402,0.3,0.0667,0.8063,0.1091,0.0909,0.025,0.7953,0.0392,0.1779
6920892466294256415,1,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,0,0,0,0,,,,506,90,506,20,90,6,402,508,22,80,2,402,0.3,0.0667,0.8063,0.1091,0.0909,0.025,0.7953,0.0392,0.1779
615146254683807741,9,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.EXACT: 'exact'>: ['0'], <EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,1,0,0,0,,,,506,90,506,20,90,6,402,508,22,80,2,402,0.3,0.0667,0.8063,0.1091,0.0909,0.025,0.7953,0.0392,0.1779
2143123778391820313,0,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.FUZZY: 'fuzzy'>: ['-1']})",0,0,0,0,0,0,0,0,,,,506,90,506,20,90,6,402,508,22,80,2,402,0.3,0.0667,0.8063,0.1091,0.0909,0.025,0.7953,0.0392,0.1779
2709332978052021498,7,-1,"defaultdict(<class 'list'>, {<EssentialStateKeyword.EXACT: 'exact'>: ['0'], <EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",0,0,0,0,1,0,0,0,,,,506,90,506,20,90,6,402,508,22,80,2,402,0.3,0.0667,0.8063,0.1091,0.0909,0.025,0.7953,0.0392,0.1779
7035853841512486594,2,2,"defaultdict(<class 'list'>, {<EssentialStateKeyword.ACTIVITY: 'activity'>: ['0']})",1,1,0,1,0,0,0,0,,,,506,90,506,20,90,6,402,508,22,80,2,402,0.3,0.0667,0.8063,0.1091,0.0909,0.025,0.7953,0.0392,0.1779
